id_represados,der,protocolo,servicos,siape_numerico,dias_represados,dt_extracao,upload,observacao,status,motivo_status,dt_previsao_conclusao,create_at,update_at,delete_at
107,2019-11-12,1729040681,Acerto para Integração - SIBE,1452725,125,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
108,2019-11-18,1189155857,Aposentadoria por Tempo de Contribuição,892590,811,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
109,2019-11-22,264758128,Benefício Assistencial à Pessoa com  Deficiência,1380195,807,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
110,2019-11-22,1656232930,Benefício Assistencial à Pessoa com  Deficiência,1988570,807,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
111,2019-11-23,600222662,Benefício Assistencial à Pessoa com  Deficiência,895947,806,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
112,2019-11-25,901941979,Aposentadoria por Tempo de Contribuição,892590,804,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
113,2019-11-26,1838866351,Solicitação de Auxílio-Acidente,2389862,803,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
114,2019-11-29,64065786,Acerto para Integração - SIBE,1452725,125,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
115,2019-12-02,1413379464,Benefício Assistencial à Pessoa com  Deficiência,892590,797,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
116,2019-12-02,1828737852,Benefício Assistencial à Pessoa com  Deficiência,2389862,797,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
117,2019-12-05,2022718719,Acerto para Integração - SIBE,1452725,125,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
118,2019-12-09,1028609074,Aposentadoria da Pessoa com  Deficiência por Idade,1377935,790,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
119,2019-12-10,1456013261,Benefício Assistencial à Pessoa com  Deficiência,1377935,789,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
120,2019-12-18,360318516,Benefício Assistencial à Pessoa com  Deficiência,895947,781,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
121,2019-12-19,92880905,Benefício Assistencial à Pessoa com  Deficiência,892590,780,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
122,2019-12-23,1515233866,Benefício Assistencial à Pessoa com  Deficiência,2389862,776,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
123,2019-12-30,401932108,Benefício Assistencial à Pessoa com  Deficiência,2390144,769,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
124,2019-12-30,862571409,Benefício Assistencial à Pessoa com  Deficiência,2390144,769,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
125,2020-01-02,56925360,Benefício Assistencial à Pessoa com  Deficiência,1380195,766,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
126,2020-01-02,260126590,Benefício Assistencial à Pessoa com  Deficiência,1380195,766,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
127,2020-01-06,2120962108,Benefício Assistencial à Pessoa com  Deficiência,895947,762,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
128,2020-01-08,44712510,Benefício Assistencial à Pessoa com  Deficiência,2390144,760,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
129,2020-01-08,952280196,Benefício Assistencial à Pessoa com  Deficiência,2390144,760,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
130,2020-01-08,1174170140,Benefício Assistencial à Pessoa com  Deficiência,2390144,760,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
131,2020-01-08,1955393358,Benefício Assistencial à Pessoa com  Deficiência,2390144,760,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
132,2020-01-08,2146484309,Benefício Assistencial à Pessoa com  Deficiência,2390144,760,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
133,2020-01-13,1733740911,Benefício Assistencial à Pessoa com  Deficiência,1947874,755,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
134,2020-01-14,968679416,Benefício Assistencial à Pessoa com  Deficiência,2390144,754,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
135,2020-01-14,1307696996,Benefício Assistencial à Pessoa com  Deficiência,2390144,754,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
136,2020-01-14,1451959174,Benefício Assistencial à Pessoa com  Deficiência,895947,754,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
137,2020-01-14,1658106627,Benefício Assistencial à Pessoa com  Deficiência,2390144,754,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
138,2020-01-15,2139322571,Benefício Assistencial à Pessoa com  Deficiência,892590,753,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
139,2020-01-17,579549753,Benefício Assistencial à Pessoa com  Deficiência,2390144,751,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
140,2020-01-17,1391800626,Benefício Assistencial à Pessoa com  Deficiência,2390144,751,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
141,2020-01-17,1959148791,Benefício Assistencial à Pessoa com  Deficiência,2390144,751,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
142,2020-01-20,2115999109,Benefício Assistencial à Pessoa com  Deficiência,892590,748,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
143,2020-01-21,868493342,Benefício Assistencial à Pessoa com  Deficiência,2390144,747,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
144,2020-01-21,1881424305,Benefício Assistencial à Pessoa com  Deficiência,2390144,747,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
145,2020-01-25,29515458,Benefício Assistencial à Pessoa com  Deficiência,892962,743,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
146,2020-01-25,201571776,Benefício Assistencial à Pessoa com  Deficiência,892962,743,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
147,2020-01-25,411697360,Aposentadoria por Idade Urbana,1380195,743,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
148,2020-01-25,735201113,Benefício Assistencial à Pessoa com  Deficiência,2390144,743,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
149,2020-01-27,820922935,Benefício Assistencial à Pessoa com  Deficiência,892590,741,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
150,2020-01-28,21345219,Benefício Assistencial à Pessoa com  Deficiência,2390144,740,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
151,2020-01-28,1756337538,Benefício Assistencial à Pessoa com  Deficiência,892590,740,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
152,2020-01-30,1113179204,Benefício Assistencial à Pessoa com  Deficiência,2390144,738,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
153,2020-01-30,1122396035,Benefício Assistencial à Pessoa com  Deficiência,2390144,738,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
154,2020-01-30,1239582300,Benefício Assistencial à Pessoa com  Deficiência,892590,738,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
155,2020-01-31,406429402,Aposentadoria por Tempo de Contribuição,1380195,737,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
156,2020-01-31,1128399889,Benefício Assistencial à Pessoa com  Deficiência,2390144,737,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
157,2020-01-31,1320836426,Benefício Assistencial à Pessoa com  Deficiência,2390144,737,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
158,2020-02-04,842437747,Benefício Assistencial à Pessoa com  Deficiência,2390144,733,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
159,2020-02-04,978802291,Aposentadoria por Tempo de Contribuição,895947,733,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
160,2020-02-05,1587453919,Antecipação de Benefício Assistencial (B16),1380189,660,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
161,2020-02-05,1587453919,Antecipação de Benefício Assistencial (B16),6892643,660,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
162,2020-02-06,58596670,Benefício Assistencial à Pessoa com  Deficiência,2390144,731,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
163,2020-02-06,64292695,Benefício Assistencial à Pessoa com  Deficiência,2390144,731,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
164,2020-02-06,1327365067,Benefício Assistencial à Pessoa com  Deficiência,2390144,731,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
165,2020-02-06,1941026052,Benefício Assistencial à Pessoa com  Deficiência,2390144,731,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
166,2020-02-11,360181176,Benefício Assistencial à Pessoa com  Deficiência,1452743,726,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
167,2020-02-11,485924673,Benefício Assistencial à Pessoa com  Deficiência,895947,726,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
168,2020-02-11,566073578,Benefício Assistencial à Pessoa com  Deficiência,1452743,726,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
169,2020-02-11,1047374539,Benefício Assistencial à Pessoa com  Deficiência,892590,726,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
170,2020-02-11,1210814995,Pensão por Morte Urbana,895947,726,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
171,2020-02-11,1214224396,Benefício Assistencial à Pessoa com  Deficiência,1452743,726,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
172,2020-02-12,1186694708,Antecipação de Benefício Assistencial (B16),1976352,660,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
173,2020-02-12,294455563,Certidão de Tempo de Contribuição,1380195,725,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
174,2020-02-12,1948665766,Aposentadoria da Pessoa com  Deficiência por Idade,1434383,725,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
175,2020-02-13,1663826399,Benefício Assistencial à Pessoa com  Deficiência,1452743,724,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
176,2020-02-14,1884109854,Benefício Assistencial à Pessoa com  Deficiência,895947,723,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
177,2020-02-19,1578923075,Antecipação de Benefício Assistencial (B16),1976352,660,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
178,2020-02-19,1450555299,Benefício Assistencial à Pessoa com  Deficiência,1452743,718,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
179,2020-02-20,1299324824,Benefício Assistencial à Pessoa com  Deficiência,1452743,717,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
180,2020-02-27,2017995972,Acerto para Integração - SIBE,1452725,125,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
181,2020-02-27,1659502462,Benefício Assistencial à Pessoa com  Deficiência,1452743,710,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
182,2020-02-27,1956191205,Benefício Assistencial à Pessoa com  Deficiência,1452743,710,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
183,2020-02-28,15391501,Benefício Assistencial ao Idoso,892590,709,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
184,2020-02-28,657271711,Benefício Assistencial à Pessoa com  Deficiência,1452743,709,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
185,2020-02-28,689416290,Benefício Assistencial à Pessoa com  Deficiência,1452743,709,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
186,2020-02-29,377549462,Acerto para Integração - SIBE,1452725,124,2022-12-14 07:01:00,,,,,,2022-02-14 16:42:00,,
